,Month,Stlhd,TempC
0,1,14.158894645941277,4.1830232558139535
1,2,17.472762645914397,4.06974358974359
2,3,42.596296296296295,6.382857142857143
3,4,46.67395833333333,9.49247311827957
4,5,61.611336032388664,13.124460431654677
5,6,300.1635416666667,16.2109375
6,7,2107.0252016129034,19.811290322580643
7,8,3593.591733870968,21.41764112903226
8,9,2333.2429614181438,19.812935883014624
9,10,329.1945564516129,16.32294197031039
10,11,49.96592398427261,11.598262548262548
11,12,20.092657342657343,6.424852071005917
