weeknumber,maxtempf,mintempf,precipitationinch,watertempf,chinookcount
1,51.0,34.0,0.0,39.92,1.0
2,45.25,36.25,0.17,39.965,1.25
3,46.333333333333336,38.833333333333336,0.20666666666666667,40.73,-0.16666666666666666
4,47.666666666666664,35.5,0.5516666666666666,41.0,0.6666666666666666
5,54.833333333333336,40.666666666666664,1.015,41.419999999999995,1.0
6,42.666666666666664,34.666666666666664,0.21333333333333335,38.0,1.0
7,51.666666666666664,41.833333333333336,0.445,39.56,1.0
8,49.266666666666666,36.46666666666667,0.3766666666666667,40.412,1.8
9,47.68181818181818,36.59090909090909,0.265,40.77090909090909,4.7272727272727275
10,53.25,36.5,0.3189285714285714,41.21857142857142,19.660714285714285
11,55.56976744186046,38.825581395348834,0.2956976744186047,42.387674418604654,43.2906976744186
12,55.48809523809524,38.75595238095238,0.2699404761904762,43.79964285714286,49.32738095238095
13,56.28191489361702,39.590425531914896,0.2374468085106383,44.94563829787234,94.47340425531915
14,58.22596153846154,40.50961538461539,0.26798076923076924,46.22778846153846,482.32211538461536
15,58.11574074074074,41.583333333333336,0.2697222222222222,47.55833333333334,1062.726851851852
16,59.72857142857143,42.371428571428574,0.21461904761904763,49.166000000000004,1865.9238095238095
17,62.89523809523809,43.50476190476191,0.18266666666666667,50.6,2795.552380952381
18,64.39810426540285,43.99526066350711,0.17284360189573458,52.320379146919436,3457.611374407583
19,65.92990654205607,45.8177570093458,0.14158878504672898,53.81364485981309,3301.163551401869
20,67.62616822429906,47.74766355140187,0.13018691588785047,55.27971962616823,1936.285046728972
21,67.48095238095237,48.7,0.15838095238095237,56.71742857142857,1268.547619047619
22,69.69158878504673,50.742990654205606,0.10934579439252336,57.808130841121496,1048.3691588785048
23,70.6606334841629,50.79185520361991,0.13380090497737557,59.09936651583711,1275.9909502262444
24,69.97674418604652,51.776744186046514,0.1386511627906977,60.151162790697676,1465.660465116279
25,72.0324074074074,52.22222222222222,0.09523148148148149,61.399166666666666,1585.5416666666667
26,75.65876777251185,54.70142180094787,0.09962085308056871,63.07857819905213,1657.4265402843603
27,77.9590909090909,55.86363636363637,0.02259090909090909,64.83854545454545,1304.35
28,78.88888888888889,56.52777777777778,0.027962962962962964,66.34083333333334,932.4953703703703
29,79.34722222222223,57.648148148148145,0.015370370370370371,67.79083333333334,709.7870370370371
30,81.10091743119266,58.20183486238532,0.014541284403669724,69.03293577981651,486.8669724770642
31,82.51886792452831,58.367924528301884,0.013773584905660377,69.92650943396227,423.60849056603774
32,81.63594470046083,58.824884792626726,0.01866359447004608,70.73815668202765,449.5115207373272
33,81.34862385321101,58.69724770642202,0.0181651376146789,70.87669724770643,745.848623853211
34,79.93212669683258,57.574660633484164,0.02918552036199095,70.64135746606335,1832.235294117647
35,80.12328767123287,56.1324200913242,0.05123287671232877,70.12054794520547,6239.799086757991
36,78.16363636363636,55.6,0.04627272727272727,69.39581818181819,10943.790909090909
37,77.12093023255814,54.097674418604655,0.048325581395348836,68.48223255813954,13486.306976744187
38,73.27751196172248,52.99043062200957,0.11894736842105263,67.27827751196172,8145.851674641149
39,74.06521739130434,52.34782608695652,0.10625,66.43184782608695,4042.6847826086955
40,70.76729559748428,50.886792452830186,0.149937106918239,65.49132075471698,1760.880503144654
41,65.9496855345912,48.55974842767296,0.20855345911949683,63.682264150943396,977.0817610062893
42,63.37267080745342,46.962732919254655,0.1891304347826087,61.779378881987576,517.2981366459627
43,62.62420382165605,46.10191082802548,0.19681528662420383,59.80140127388535,239.6687898089172
44,57.97530864197531,42.89506172839506,0.30462962962962964,57.60222222222222,145.3395061728395
45,55.069182389937104,42.58490566037736,0.5133333333333333,55.38415094339623,82.38364779874213
46,53.24832214765101,41.59060402684564,0.33308724832214764,53.53718120805369,40.738255033557046
47,49.70238095238095,38.857142857142854,0.37154761904761907,51.45285714285714,17.11904761904762
48,46.285714285714285,36.18571428571428,0.3437142857142857,48.92514285714286,9.6
49,44.640625,35.296875,0.4071875,46.8246875,5.9375
50,43.16,34.54,0.34340000000000004,44.8592,4.98
51,43.54054054054054,35.486486486486484,0.4437837837837838,43.52486486486487,2.5405405405405403
52,43.59090909090909,36.18181818181818,0.2768181818181818,43.03727272727272,6.0
53,43.0,34.888888888888886,0.42,41.919999999999995,1.0
