weeknumber,maxtempf,mintempf,precipitationinch,watertempf,cohocount
1,46.333333333333336,34.833333333333336,0.26833333333333337,40.46,0.0
2,40.69230769230769,32.53846153846154,0.4169230769230769,40.072307692307696,-0.6153846153846154
3,41.0,33.55555555555556,0.2488888888888889,39.940000000000005,-0.3333333333333333
4,39.5,32.0,0.28,39.019999999999996,0.0
5,45.25,37.75,0.08,41.0,-1.0
6,48.5,38.5,0.26,42.08,0.0
25,70.0,49.0,0.0,61.7,1.0
26,69.0,56.0,0.87,63.68,1.0
28,81.8,56.8,0.012,66.056,5.4
29,79.23529411764706,59.8235294117647,0.051176470588235295,67.96823529411765,2.9411764705882355
30,82.78787878787878,59.27272727272727,0.005151515151515151,69.4509090909091,2.1818181818181817
31,81.578125,57.8125,0.016875,69.935,2.5
32,82.0952380952381,58.76190476190476,0.008857142857142857,70.67085714285714,6.504761904761905
33,81.82777777777778,58.75555555555555,0.017722222222222223,70.816,21.988888888888887
34,80.07692307692308,57.62980769230769,0.029471153846153845,70.59528846153846,137.46153846153845
35,80.19266055045871,56.137614678899084,0.04977064220183486,70.11211009174312,739.0733944954128
36,78.16363636363636,55.6,0.04627272727272727,69.39581818181819,1777.090909090909
37,77.12093023255814,54.097674418604655,0.048325581395348836,68.48223255813954,2544.679069767442
38,73.27751196172248,52.99043062200957,0.11894736842105263,67.27827751196172,2046.0
39,74.06521739130434,52.34782608695652,0.10625,66.43184782608695,1168.4945652173913
40,70.76729559748428,50.886792452830186,0.149937106918239,65.49132075471698,1021.2389937106918
41,65.9496855345912,48.55974842767296,0.20855345911949683,63.682264150943396,1141.4025157232704
42,63.37267080745342,46.962732919254655,0.1891304347826087,61.779378881987576,1089.2111801242236
43,62.62420382165605,46.10191082802548,0.19681528662420383,59.80140127388535,694.1910828025477
44,57.97530864197531,42.89506172839506,0.30462962962962964,57.60222222222222,380.82716049382714
45,55.069182389937104,42.58490566037736,0.5133333333333333,55.38415094339623,158.0188679245283
46,53.27333333333333,41.586666666666666,0.32926666666666665,53.558,72.48666666666666
47,49.55952380952381,38.654761904761905,0.37130952380952376,51.50428571428571,33.095238095238095
48,45.45454545454545,35.378787878787875,0.34136363636363637,48.84090909090909,24.53030303030303
49,44.2,34.72,0.4384,46.6196,7.54
50,41.55263157894737,32.13157894736842,0.2805263157894737,44.50526315789474,5.184210526315789
51,41.60606060606061,33.878787878787875,0.40454545454545454,43.04,3.4242424242424243
52,45.52173913043478,36.869565217391305,0.42608695652173917,42.095652173913045,1.9130434782608696
53,42.18181818181818,34.81818181818182,0.6327272727272727,40.901818181818186,-0.6363636363636364
