weeknumber,maxtempf,mintempf,precipitationinch,watertempf,shadcount
12,53.5,38.0,0.36,39.92,1.5
13,57.0,38.0,0.0,41.0,8.0
16,64.5,49.0,0.26249999999999996,51.98,2.25
17,61.333333333333336,42.0,0.23583333333333334,51.919999999999995,3.1666666666666665
18,67.5,46.017857142857146,0.18571428571428572,53.54535714285714,18.107142857142858
19,67.83571428571429,47.32857142857143,0.12792857142857142,54.66457142857143,257.89285714285717
20,67.95145631067962,47.81553398058252,0.12558252427184466,55.38252427184466,2011.2281553398059
21,67.48095238095237,48.7,0.15838095238095237,56.71742857142857,7628.27619047619
22,69.69158878504673,50.742990654205606,0.10934579439252336,57.808130841121496,32142.158878504673
23,70.6606334841629,50.79185520361991,0.13380090497737557,59.09936651583711,75518.0407239819
24,69.97674418604652,51.776744186046514,0.1386511627906977,60.151162790697676,93247.50697674419
25,72.0324074074074,52.22222222222222,0.09523148148148149,61.399166666666666,100204.98611111111
26,75.65876777251185,54.70142180094787,0.09962085308056871,63.07857819905213,71069.05213270143
27,77.9590909090909,55.86363636363637,0.02259090909090909,64.83854545454545,25026.036363636365
28,78.88888888888889,56.52777777777778,0.027962962962962964,66.34083333333334,8406.25462962963
29,79.34722222222223,57.648148148148145,0.015370370370370371,67.79083333333334,2573.8333333333335
30,81.10091743119266,58.20183486238532,0.014541284403669724,69.03293577981651,906.6743119266055
31,82.51886792452831,58.367924528301884,0.013773584905660377,69.92650943396227,385.811320754717
32,81.63594470046083,58.824884792626726,0.01866359447004608,70.73815668202765,202.44700460829492
33,81.24186046511628,58.688372093023254,0.018418604651162792,70.86744186046512,97.51162790697674
34,79.99078341013825,57.6036866359447,0.029723502304147466,70.6394470046083,51.944700460829495
35,79.93264248704664,56.04145077720207,0.0561139896373057,70.17025906735752,32.17616580310881
36,77.44680851063829,55.723404255319146,0.03361702127659574,69.69276595744681,22.06382978723404
